id	name	attack	block	death	range
62	Jungle spider	5327	5328	5329	5327
63	Deadly red spider	5327	5328	5329	5327
64	Ice spider	5327	0	5329	0
65	Leprechaun	422	404	9055	422
66	Gnome	190	193	196	190
67	Gnome	190	193	196	190
68	Gnome	190	193	196	190
69	Lizard man	422	404	9055	422
70	Orc	0	0	0	0
71	Orc	422	404	9055	422
72	Troll	422	404	9055	422
73	Zombie	5567	5568	5569	0
74	Zombie	5578	5579	5580	5578
75	Zombie	5578	5579	5580	5578
76	Zombie	5571	5574	5575	0
77	Summoned Zombie	5568	0	5569	0
78	Giant bat	4915	4916	4917	4915
79	Death wing	4915	0	4917	0
80	Camel	0	0	0	0
81	Cow	5849	5850	5851	5849
82	Lesser demon	4630	65	67	4630
83	Greater demon	64	65	68	64
84	Black demon	64	65	67	64
85	Golem	422	404	9055	422
86	Giant rat	4933	4934	4935	4933
87	Giant rat	4933	4934	4935	0
88	Dungeon rat	0	0	4935	0
89	Unicorn	6376	6375	6377	6376
90	Skeleton	5485	5489	5491	5485
91	Skeleton	5485	5489	5491	5485
92	Skeleton	5485	5489	5491	5485
93	Skeleton	5485	5489	5491	5485
94	Skeleton Mage	0	0	0	0
95	Wolf	6559	6557	6558	0
96	White wolf	6579	6578	6576	6579
97	White wolf	6579	6578	6576	6579
98	Dog	0	0	0	0
99	Guard dog	6562	6563	6564	6562
100	Goblin	6185	6183	6182	6185
101	Goblin	6185	6183	6182	6185
102	Goblin	6185	6183	6182	6185
103	Ghost	5540	5541	5542	5540
104	Ghost	5532	5533	5534	0
105	Grizzly bear	4925	0	4929	0
106	Black bear	4925	0	4929	0
107	Scorpion	6254	6255	6256	0
108	Poison Scorpion	6254	6255	6256	0
109	Pit Scorpion	6254	6255	6256	0
110	Fire giant	4666	4664	4668	4666
111	Ice giant	4672	0	4673	0
112	Moss giant	4666	4665	4668	4666
113	Jogre	128	129	131	128
114	Mogre	359	360	361	359
115	Ogre	359	360	361	359
116	Cyclops	359	4651	4653	359
117	Hill Giant	4652	4651	4653	4652
118	Dwarf	99	0	102	0
119	Chaos dwarf	99	0	102	0
120	Dwarf	99	0	102	0
121	Dwarf	0	0	0	0
122	Hobgoblin	164	165	167	164
123	Hobgoblin	164	165	167	164
124	Earth warrior	393	0	836	0
125	Ice warrior	451	404	843	451
126	Otherworldly being	0	0	0	0
127	Magic axe	185	0	188	0
128	Snake	275	0	278	0
129	Skavid	0	0	0	0
130	Yeti	0	0	0	0
131	Penguin	5669	0	5671	0
132	Monkey	220	0	223	0
133	Black unicorn	6376	6375	6377	6376
134	Poison spider	5327	5328	5329	0
135	Mammoth	0	0	0	0
136	Mounted terrorchick gnome	0	0	0	0
137	Terrorchick gnome	0	0	0	0
138	Terrorbird	1010	1012	1013	0
139	Terrorbird	1010	1012	1013	0
140	Souless	338	0	340	0
141	Big Wolf	6559	0	6558	0
142	Wolf	6559	0	6558	0
143	Jungle Wolf	6559	0	6558	0
144	King Scorpion	6254	0	6256	0
145	Ice warrior	451	404	843	451
146	Gull	0	0	0	0
147	Cormorant	0	0	0	0
148	Pelican	0	0	0	0
149	Gull	0	0	0	0
150	Gull	0	0	0	0
151	Fly trap	0	0	0	0
152	Butterfly	0	0	0	0
153	Butterfly	0	0	0	0
154	Butterfly	0	0	0	0
155	Butterfly	0	0	0	0
156	Butterfly	0	0	0	0
157	Butterfly	0	0	0	0
158	Shadow warrior	394	0	843	0
159	Gnome child	191	193	196	0
160	Gnome child	191	193	196	0
161	Gnome child	191	193	196	0
162	Gnome trainer	0	0	0	0
163	Gnome guard	1218	0	1224	0
164	Gnome guard	192	0	196	0
165	Gnome shop keeper	0	0	0	0
166	Gnome banker	0	0	0	0
167	Gnome baller	0	0	0	0
168	Gnome woman	191	0	196	0
169	Gnome woman	191	0	196	0
170	Man	422	0	836	0
171	Brimstail	0	0	0	0
172	Dark wizard	422	0	836	0
173	Invrigar the Necromancer	422	0	836	0
174	Dark wizard	422	0	836	0
175	Mugger	422	0	836	0
176	Witch	423	0	836	0
177	Witch	0	0	0	0
178	Black Knight	390	388	836	0
179	Black Knight	390	388	836	0
180	Highwayman	799	404	9055	799
181	Chaos druid	422	404	9055	422
182	Pirate	422	425	836	0
183	Pirate	422	425	836	0
184	Pirate	422	425	836	0
185	Pirate	0	0	0	0
186	Thug	386	0	836	0
187	Rogue	386	0	836	0
188	Monk of Zamorak	422	404	836	0
189	Monk of Zamorak	422	404	836	0
190	Monk of Zamorak	422	404	836	0
191	Tribesman	428	0	836	0
192	Dark warrior	451	388	9055	0
193	Chaos druid warrior	422	404	836	422
194	Necromancer	422	0	836	0
195	Bandit	0	0	0	0
196	Guard Bandit	386	0	836	0
197	Barbarian guard	0	0	0	0
198	Guildmaster	0	0	0	0
199	Gunthor the Brave	395	0	836	0
200	Lord Daquarius	0	0	0	0
201	Jailer	422	0	836	0
202	Black Heather	390	0	836	0
203	Donny the Lad	390	0	836	0
204	Speedy Keith	390	0	836	0
205	Salarin the Twisted	422	0	836	0
206	Guard	99	0	102	0
207	Lollk	0	0	0	0
208	Captain Lawgof	0	0	0	0
209	Nulodion	0	0	0	0
210	Grail Maiden	0	0	0	0
211	Sir Percival	0	0	0	0
212	King Percival	0	0	0	0
213	Merlin	0	0	0	0
214	Peasant	0	0	0	0
215	Peasant	0	0	0	0
216	High Priest	0	0	0	0
217	Crone	0	0	0	0
218	Galahad	0	0	0	0
219	Fisherman	0	0	0	0
220	The Fisher King	0	0	0	0
221	Black Knight Titan	128	0	131	0
222	Monk	422	0	836	0
223	Brother Kojo	0	0	0	0
224	Dungeon rat	4933	0	4935	0
225	Bonzo	0	0	0	0
226	Morris	0	0	0	0
228	Big Dave	0	0	0	0
229	Joshua	0	0	0	0
230	Grandpa Jack	0	0	0	0
231	Forester	0	0	0	0
232	Austri	0	0	0	0
233	Fishing spot	0	0	0	0
234	Fishing spot	0	0	0	0
235	Fishing spot	0	0	0	0
236	Fishing spot	0	0	0	0
237	Renegade Knight	6489	0	6490	0
238	Thrantax the Mighty	5540	0	5542	0
239	Sir Lancelot	0	0	0	0
240	Sir Gawain	0	0	0	0
241	Sir Kay	0	0	0	0
242	Sir Bedivere	0	0	0	0
243	Sir Tristram	0	0	0	0
244	Sir Pelleas	0	0	0	0
245	Sir Lucan	0	0	0	0
246	Teapotspout	0	0	2301	0
247	Sir Mordred	6489	6488	6490	0
248	Morgan Le Faye	0	0	0	0
249	Merlin	0	0	0	0
250	The Lady of the Lake	0	0	0	0
251	King Arthur	0	0	0	0
252	Beggar	0	0	0	0
253	Khazard Guard	395	397	836	0
254	Khazard Guard	395	397	836	0
255	Khazard Guard	395	397	836	0
256	Khazard Guard	395	397	836	0
257	Khazard Guard	395	397	836	0
258	General Khazard	7049	7050	836	0
259	Khazard barman	0	397	0	0
260	Kelvin	0	0	0	0
261	Joe	0	0	0	0
262	Fightslave	0	0	0	0
263	Hengrad	0	0	0	0
264	Lady Servil	0	0	0	0
265	Jeremy Servil	0	0	0	0
266	Jeremy Servil	0	0	0	0
267	Justin Servil	0	0	0	0
268	Local	0	0	0	0
269	Bouncer	6581	6578	6576	0
270	Khazard Ogre	359	360	361	359
271	Khazard Scorpion	6254	0	6256	0
272	Lucien	401	404	836	0
273	Lucien	0	404	836	0
274	Guardian of Armadyl	401	404	836	0
275	Guardian of Armadyl	401	404	836	0
276	Winelda	0	0	0	0
277	Fire Warrior of Lesarkus	0	425	836	0
278	Cook	0	0	0	0
279	Brother Omad	0	0	0	0
280	Brother Cedric	0	0	0	0
281	Monk	422	0	836	0
282	Thief	386	0	836	0
283	Head Thief	390	0	836	0
284	Doric	0	0	0	0
285	Veronica	0	0	0	0
286	Professor Oddenstein	0	0	0	0
287	Ernest	0	0	0	0
288	Chicken	5387	5388	5389	5387
289	Councillor Halgrive	0	0	0	0
290	Doctor Orbon	0	0	0	0
291	Farmer Brumty	0	0	0	0
292	Guard	0	0	0	0
296	Guard	7218	0	7219	0
297	Guard	7218	0	7220	0
298	Guard	7218	0	7219	0
299	Guard	583	0	7213	0
300	Sedridor	0	0	0	0
301	Twig	0	0	0	0
302	Hadley	0	0	0	0
303	Gerald	0	0	0	0
304	Almera	0	0	0	0
305	Hudon	0	0	0	0
306	Golrie	0	0	0	0
307	Hetty	0	0	0	0
308	Master fisher	0	0	0	0
309	Fishing spot	0	0	0	0
310	Fishing spot	0	0	0	0
311	Fishing spot	0	0	0	0
312	Fishing spot	0	0	0	0
313	Fishing spot	0	0	0	0
314	Fishing spot	0	0	0	0
315	Fishing spot	0	0	0	0
316	Fishing spot	0	0	0	0
317	Fishing spot	0	0	0	0
318	Fishing spot	0	0	0	0
319	Fishing spot	0	0	0	0
320	Fishing spot	0	0	0	0
321	Fishing spot	0	0	0	0
322	Fishing spot	0	0	0	0
323	Fishing spot	0	0	0	0
324	Fishing spot	0	0	0	0
325	Fishing spot	0	0	0	0
326	Fishing spot	0	0	0	0
327	Fishing spot	0	0	0	0
328	Fishing spot	0	0	0	0
329	Fishing spot	0	0	0	0
330	Fishing spot	0	0	0	0
331	Fishing spot	0	0	0	0
332	Fishing spot	0	0	0	0
333	Fishing spot	0	0	0	0
334	Fishing spot	0	0	0	0
335	Elena	0	0	0	0
336	Da Vinci	0	0	0	0
337	Da Vinci	0	0	0	0
338	Chancy	0	0	0	0
339	Chancy	0	0	0	0
340	Hops	0	0	0	0
341	Hops	0	0	0	0
342	Guidor's wife	0	0	0	0
343	Guidor	0	0	0	0
344	Guard	0	0	0	0
345	Guard	0	0	0	0
346	Guard	0	0	0	0
347	Mourner	428	0	836	0
348	Mourner	422	0	836	0
349	Kilron	0	0	0	0
350	Omart	0	0	0	0
351	Man	422	404	836	0
352	Woman	422	404	836	0
353	Woman	422	404	836	0
354	Woman	422	404	836	0
355	Child	0	0	0	0
356	Child	0	0	0	0
357	Mourner	428	0	836	0
358	Priest	0	0	0	0
359	Man	422	404	9055	422
360	Woman	422	404	836	0
361	Woman	422	404	836	422
362	Woman	422	404	836	0
363	Woman	422	404	836	0
364	King Lathas	0	0	0	0
365	Paladin	0	0	0	0
366	Jerico	0	0	0	0
367	Chemist	0	0	0	0
368	Guard	0	0	0	0
369	Mourner	422	0	836	0
370	Mourner (boss)	428	0	836	0
371	Mourner	422	0	836	0
372	Mourner	0	0	0	0
373	Nurse Sarah	0	0	0	0
374	Ogre	359	360	361	359
375	Redbeard Frank	0	0	0	0
376	Captain Tobias	0	0	0	0
377	Seaman Lorris	0	0	0	0
378	Seaman Thresnor	0	0	0	0
379	Luthas	0	0	0	0
380	Customs officer	0	0	0	0
381	Dwarf	0	0	0	0
382	Dwarf	0	0	0	0
383	Stankers	0	0	0	0
384	Barbarian guard	0	0	0	0
385	Kharid Scorpion	0	0	0	0
386	Kharid Scorpion	0	0	0	0
387	Kharid Scorpion	0	0	0	0
388	Seer	0	0	0	0
389	Thormac	0	0	0	0
390	Big fish	2371	0	2373	0
391	River troll	284	285	287	0
392	River troll	284	285	287	0
393	River troll	284	285	287	0
394	River troll	284	285	287	0
395	River troll	284	285	287	0
396	River troll	284	285	287	0
397	Cow	5849	5850	5851	5849
398	Legends guard	0	0	0	0
399	Legends guard	0	0	0	0
400	Radimus Erkle	0	0	0	0
401	Jungle forester	0	0	0	0
402	Jungle forester	0	0	0	0
403	Fishing spot	0	0	0	0
404	Fishing spot	0	0	0	0
405	Fishing spot	0	0	0	0
406	Fishing spot	0	0	0	0
407	Strange Plant	0	0	0	0
408	Strange Plant	353	354	355	0
409	Genie	0	0	0	0
410	Mysterious Old Man	0	0	0	0
411	Swarm	0	0	0	0
412	Bat	4915	4916	4918	4915
413	Rock Golem	0	154	156	5347
414	Rock Golem	0	154	156	5347
415	Rock Golem	0	154	156	5347
416	Rock Golem	0	154	156	5347
417	Rock Golem	0	154	156	5347
418	Rock Golem	0	154	156	5347
419	Zombie	5578	5574	5575	5578
420	Zombie	5578	5574	5575	5578
421	Zombie	5578	5574	5575	5578
422	Zombie	5578	5574	5575	5578
423	Zombie	5578	5574	5575	5578
424	Zombie	5578	5574	5575	5578
425	Shade	390	0	836	0
426	Shade	390	0	836	0
427	Shade	390	0	836	0
428	Shade	390	0	836	0
429	Shade	390	0	836	0
430	Shade	390	0	836	0
431	Cyrisus	0	0	0	0
433	Cyrisus	0	0	0	0
434	Cyrisus	0	0	0	0
435	Fallen Man	0	0	0	0
436	Fallen Man	0	0	0	0
437	Cap'n Izzy No-Beard	0	0	0	0
438	Tree spirit	94	95	97	0
439	Tree spirit	94	95	97	0
440	Tree spirit	94	95	97	0
441	Tree spirit	94	95	97	0
442	Tree spirit	94	95	97	0
443	Tree spirit	94	95	97	0
444	Goblin	6185	6183	6182	6185
445	Goblin	6185	6183	6182	6185
446	Giant rat	4933	4934	4935	0
447	Jail guard	401	0	836	0
448	Jail guard	0	0	836	0
449	Jail guard	401	0	836	0
450	Gull	0	0	0	0
451	Gull	0	0	0	0
452	Seth Groats	0	0	0	0
453	Suit of armour	390	0	836	0
454	Sanfew	0	0	0	0
455	Kaqemeex	0	0	0	0
456	Father Aereck	0	0	0	0
457	Restless ghost	0	0	0	0
458	Father Urhney	0	0	0	0
459	Skeleton	5485	5489	5491	5485
460	Wizard Frumscone	0	0	0	0
461	Magic Store owner	0	0	0	0
462	Wizard Distentor	0	0	0	0
463	Murphy	0	0	0	0
464	Murphy	0	0	0	0
465	Murphy	0	0	0	0
466	Murphy	0	0	0	0
467	Shark	0	0	0	0
468	Shark	0	0	0	0
469	King Bolren	0	0	0	0
470	Commander Montai	0	0	0	0
471	Bolkoy	0	0	0	0
472	Remsai	0	0	0	0
473	Khazard trooper	0	0	0	0
475	Khazard trooper	401	0	836	0
476	Khazard trooper	0	0	0	0
477	Khazard warlord	401	0	836	0
478	Khazard commander	428	0	836	0
479	Gnome troop	190	0	196	0
480	Gnome troop	0	0	0	0
481	Tracker gnome 1	0	0	0	0
482	Tracker gnome 2	0	0	0	0
483	Tracker gnome 3	0	0	0	0
484	Local Gnome	0	0	0	0
485	Local Gnome	0	0	0	0
486	Kalron	0	0	0	0
487	Giant	0	0	0	0
488	Observatory professor	0	0	0	0
489	Goblin guard	6199	0	6190	0
490	Mummy	0	0	0	0
491	Ghost	5540	5541	5542	0
492	Spirit of Scorpius	0	0	0	0
493	Grave scorpion	6261	0	6260	0
494	Banker	0	0	0	0
495	Banker	0	0	0	0
496	Banker	0	0	0	0
497	Banker	0	0	0	0
498	Banker	0	0	0	0
499	Banker	0	0	0	0
500	Mosol Rei	0	0	0	0
501	Spirit of Zadimus	0	0	0	0
502	Undead one	5485	0	5491	0
503	Undead one	5485	0	5491	0
504	Undead one	5568	0	5569	0
505	Undead one	5571	0	5575	0
506	Rashiliyia 	0	0	0	0
507	Nazastarool	5571	5574	5575	0
508	Nazastarool	5507	5508	5509	0
509	Nazastarool	5532	5533	5534	0
510	Hajedy	0	0	0	0
511	Vigroy	0	0	0	0
512	Kaleb Paramaya	0	0	0	0
513	Yohnus	0	0	0	0
514	Seravel	0	0	0	0
515	Yanni Salika	0	0	0	0
516	Obli	0	0	0	0
517	Fernahei	0	0	0	0
518	Captain Shanks	0	0	0	0
519	Bob	0	0	0	0
520	Shopkeeper	0	0	0	0
521	Shop assistant	0	0	0	0
522	Shopkeeper	0	0	0	0
523	Shop assistant	0	0	0	0
524	Shopkeeper	0	0	0	0
525	Shop assistant	0	0	0	0
526	Shopkeeper	0	0	0	0
527	Shop assistant	0	0	0	0
528	Shopkeeper	0	0	0	0
529	Shop assistant	0	0	0	0
530	Shopkeeper	0	0	0	0
531	Shop assistant	0	0	0	0
532	Shopkeeper Kofi	0	0	0	0
533	Shop assistant	0	0	0	0
534	Fairy shopkeeper	0	0	0	0
535	Fairy shop assistant	0	0	0	0
536	Valaine	0	0	0	0
537	Scavvo	0	0	0	0
538	Peksa	0	0	0	0
539	Silk trader	0	0	0	0
540	Gem trader	0	0	0	0
541	Zeke	0	0	0	0
542	Louie Legs	0	0	0	0
543	Karim	0	0	0	0
544	Ranael	0	0	0	0
545	Dommik	0	0	0	0
546	Zaff	0	0	0	0
547	Baraek	0	0	0	0
548	Thessalia	0	0	0	0
549	Horvik	0	0	0	0
550	Lowe	0	0	0	0
551	Shopkeeper	0	0	0	0
552	Shop assistant	0	0	0	0
553	Aubury	0	0	0	0
554	Fancy-dress shop owner	0	0	0	0
555	Shopkeeper	0	0	0	0
556	Grum	0	0	0	0
557	Wydin	0	0	0	0
558	Gerrant	0	0	0	0
559	Brian	0	0	0	0
560	Jiminua	0	0	0	0
561	Shopkeeper	0	0	0	0
562	Candle-maker	0	0	0	0
563	Arhein	0	0	0	0
564	Jukat	0	0	0	0
565	Lunderwin	0	0	0	0
566	Irksol	0	0	0	0
567	Fairy	0	0	0	0
568	Zambo	0	0	0	0
569	Silver merchant	0	0	0	0
570	Gem merchant	0	0	0	0
571	Baker	0	0	0	0
572	Spice seller	0	0	0	0
573	Fur trader	0	0	0	0
574	Silk merchant	0	0	0	0
575	Hickton	0	0	0	0
576	Harry	0	0	0	0
577	Cassie	0	0	0	0
578	Frincos	0	0	0	0
579	Drogo dwarf	0	0	0	0
580	Flynn	0	0	0	0
581	Wayne	0	0	0	0
582	Dwarf	0	0	0	0
583	Betty	0	0	0	0
584	Herquin	0	0	0	0
585	Rommik	0	0	0	0
586	Gaius	0	0	0	0
587	Jatix	0	0	0	0
588	Davon	0	0	0	0
589	Zenesha	0	0	0	0
590	Aemad	0	0	0	0
591	Kortan	0	0	0	0
592	Roachey	0	0	0	0
593	Frenita	0	0	0	0
594	Nurmof	0	0	0	0
595	Tea seller	0	0	0	0
596	Fat Tony	0	0	0	0
597	Noterazzo	0	0	0	0
598	Hairdresser	0	0	0	0
599	Make-over Mage	0	0	0	0
600	Hudo	0	0	0	0
601	Rometti	0	0	0	0
602	Gulluck	0	0	0	0
603	Heckel Funch	0	0	0	0
604	Thurgo	0	0	0	0
605	Sir Vyvin	0	0	0	0
606	Squire	0	0	0	0
607	Gunnjorn	0	0	0	0
608	Sir Amik Varze	0	0	0	0
609	Fortress Guard	428	0	836	0
610	Black Knight Captain	0	0	0	0
611	Witch	0	0	0	0
612	Greldo	0	0	0	0
613	Digsite workman	0	0	0	0
614	Doug Deeping	0	0	0	0
615	Student	0	0	0	0
616	Student	0	0	0	0
617	Student	0	0	0	0
618	Examiner	0	0	0	0
619	Archaeological expert	0	0	0	0
620	Panning guide	0	0	0	0
621	Gnome baller	0	0	0	0
622	Gnome baller	0	0	0	0
623	Gnome baller	0	0	0	0
624	Gnome baller	0	0	0	0
625	Gnome baller	0	0	0	0
626	Gnome baller	0	0	0	0
627	Gnome baller	0	0	0	0
628	Gnome baller	0	0	0	0
629	Gnome baller	0	0	0	0
630	Gnome baller	0	0	0	0
631	Gnome baller	0	0	0	0
632	Gnome baller	0	0	0	0
633	Gnome winger	0	0	0	0
634	Gnome winger	0	0	0	0
635	Gnome ball referee	0	0	0	0
636	Cheerleader	0	0	0	0
637	Juliet	0	0	0	0
638	Apothecary	0	0	0	0
639	Romeo	0	0	0	0
640	Father Lawrence	0	0	0	0
641	Charlie the Tramp	0	0	0	0
642	Katrine	0	0	0	0
643	Weaponsmaster	390	0	836	0
644	Straven	0	0	0	0
645	Jonny the beard	422	0	836	0
646	Curator Haig Halen	0	0	0	0
647	King Roald	0	0	0	0
648	King Roald	0	0	0	0
649	Archer	0	0	0	0
650	Warrior	0	0	0	0
651	Monk	0	0	0	0
652	Wizard	0	0	0	0
653	Fairy Queen	0	0	0	0
654	Shamus	0	0	0	0
655	Tree spirit	5532	0	5534	0
656	Cave monk	0	0	0	0
657	Monk of Entrana	0	0	0	0
658	Monk of Entrana	0	0	0	0
659	Party Pete	0	0	0	0
660	Knight	0	0	0	0
661	Megan	0	0	0	0
662	Lucy	0	0	0	0
663	Man	0	0	0	0
664	Boot	0	0	0	0
665	Boot	0	0	0	0
666	Caleb	0	0	0	0
667	Chronozon	64	65	67	0
668	Johnathon	0	0	0	0
669	Hazelmere	0	0	0	0
670	King Narnode Shareen	0	0	0	0
671	Glough	0	0	0	0
672	Anita	0	0	0	0
673	Charlie	0	0	0	0
674	Foreman	422	0	836	0
675	Shipyard worker	0	0	0	0
676	Femi	0	0	0	0
677	Black demon	64	65	67	64
678	Guard	0	0	0	0
679	Ranging Guild Doorman	0	0	0	0
680	Leatherworker	0	0	0	0
681	Held vampyre juvinate	0	0	0	0
682	Armour salesman	0	0	0	0
683	Bow and Arrow salesman	0	0	0	0
684	Tower Advisor	0	0	0	0
685	Tower Advisor	0	0	0	0
686	Tower Advisor	0	0	0	0
687	Tower Advisor	0	0	0	0
688	Tower Archer	426	0	836	426
689	Tower Archer	426	0	836	426
690	Tower Archer	426	0	836	426
691	Tower Archer	426	0	836	426
692	Tribal Weapon Salesman	0	0	0	0
693	Competition Judge	0	0	0	0
694	Ticket Merchant	0	0	0	0
695	Bailey	0	0	0	0
696	Caroline	0	0	0	0
697	Holgart	0	0	0	0
698	Holgart	0	0	0	0
699	Holgart	0	0	0	0
700	Holgart	0	0	0	0
701	Kent	0	0	0	0
702	Fisherman	0	0	0	0
703	Fisherman	0	0	0	0
704	Fisherman	0	0	0	0
705	Melee tutor	0	0	0	0
706	Wizard Mizgog	0	0	0	0
707	Wizard Grayzag	0	0	0	0
708	Imp	169	170	172	169
709	Imp	169	170	172	169
710	Alrena	0	0	0	0
711	Bravek	0	0	0	0
712	Carla	0	0	0	0
713	Clerk	0	0	0	0
714	Edmond	0	0	0	0
715	Elena	0	0	0	0
716	Head Mourner	0	0	0	0
717	Mourner	0	0	0	0
718	Mourner	0	0	0	0
719	Mourner	0	0	0	0
720	Recruiter	0	0	0	0
721	Ted Rehnison	0	0	0	0
722	Martha Rehnison	0	0	0	0
723	Billy Rehnison	0	0	0	0
724	Milli Rehnison	0	0	0	0
725	Jethick	0	0	0	0
726	Man	0	0	0	0
727	Man	0	0	0	0
728	Man	0	0	0	0
729	Man	0	0	0	0
730	Man	0	0	0	0
731	Bartender	0	0	0	0
732	Bartender	0	0	0	0
733	Bartender	0	0	0	0
734	Bartender	0	0	0	0
735	Bartender	0	0	0	0
736	Emily	0	0	0	0
737	Bartender	0	0	0	0
738	Bartender	0	0	0	0
739	Bartender	0	0	0	0
740	Trufitus	0	0	0	0
741	Duke Horacio	0	0	0	0
742	Elvarg	80	89	4642	0
743	Ned	0	0	0	0
744	Klarense	0	0	0	0
745	Wormbrain	6184	0	6204	0
746	Oracle	0	0	0	0
747	Oziach	0	0	0	0
748	Angry barbarian spirit	0	0	0	0
749	Angry barbarian spirit	6726	0	6727	0
750	Enraged barbarian spirit	6726	0	6727	0
751	Berserk barbarian spirit	6726	0	6727	0
752	Ferocious barbarian spirit	6726	0	6727	0
753	Melzar the Mad	423	0	836	0
754	Peaceful barbarian spirit	0	0	0	0
755	Morgan	0	0	0	0
756	Dr Harlow	0	0	0	0
757	Count Draynor	422	404	9055	422
758	Fred the Farmer	0	0	0	0
759	Kittens	0	0	0	0
761	Kitten	0	0	0	0
762	Kitten	0	0	0	0
763	Kitten	0	0	0	0
764	Kitten	0	0	0	0
765	Kitten	0	0	0	0
766	Kitten	0	0	0	0
767	Crate	192	194	196	0
768	Cat	0	0	0	0
769	Cat	0	0	0	0
770	Cat	0	0	0	0
771	Cat	0	0	0	0
772	Cat	0	0	0	0
773	Cat	0	0	0	0
774	Overgrown cat	0	0	0	0
775	Overgrown cat	0	0	0	0
776	Overgrown cat	0	0	0	0
777	Overgrown cat	0	0	0	0
778	Overgrown cat	0	0	0	0
779	Overgrown cat	0	0	0	0
780	Gertrude	0	0	0	0
781	Shilop	0	0	0	0
782	Philop	0	0	0	0
783	Wilough	0	0	0	0
784	Kanel	0	0	0	0
785	Civilian	0	0	0	0
786	Civilian	0	0	0	0
787	Civilian	0	0	0	0
788	Garv	0	0	0	0
789	Grubor	0	0	0	0
790	Letham	0	0	0	0
791	Seth	0	0	0	0
792	Grip	0	0	0	0
793	Alfonse the waiter	0	0	0	0
794	Charlie the cook	0	0	0	0
795	Ice Queen	422	0	836	0
796	Achietties	0	0	0	0
797	Helemos	0	0	0	0
798	Velrak the explorer	0	0	0	0
799	Pirate Guard	390	0	836	0
800	Fishing spot	0	0	0	0
801	Abbot Langley	0	0	0	0
802	Brother Jered	0	0	0	0
803	Monk	422	0	836	0
804	Tanner	0	0	0	0
805	Master Crafter	0	0	0	0
806	Donovan the Family Handyman	0	0	0	0
807	Pierre	0	0	0	0
808	Hobbes	0	0	0	0
809	Louisa	0	0	0	0
810	Mary	0	0	0	0
811	Stanford	0	0	0	0
812	Guard	0	0	0	0
813	Gossip	0	0	0	0
814	Anna	0	0	0	0
815	Bob	0	0	0	0
816	Carol	0	0	0	0
817	David	0	0	0	0
818	Elizabeth	0	0	0	0
819	Frank	0	0	0	0
820	Poison Salesman	0	0	0	0
821	Sinclair Guard dog	0	0	0	0
822	Ana	0	0	0	0
823	Ana	0	0	0	0
824	Female slave	0	0	0	0
825	Male slave	0	0	0	0
826	Escaping slave	0	0	0	0
827	Rowdy slave	422	0	836	0
828	Shanty Claws	0	0	0	0
829	Mercenary Captain	0	0	0	0
830	Mercenary Captain	390	0	836	0
831	Captain Siad	0	0	0	0
832	Al Shabim	0	0	0	0
833	Bedabin Nomad	0	0	0	0
834	Bedabin Nomad Guard	0	0	0	0
835	Irena	0	0	0	0
836	Shantay	0	0	0	0
837	Shantay Guard	390	0	836	0
838	Shantay Guard	0	0	0	0
839	Desert Wolf	6559	0	6558	0
840	Ugthanki	0	0	9674	0
841	Mine cart driver	0	0	0	0
842	Rowdy Guard	185	0	188	0
843	RPDT employee	0	0	0	0
844	Horacio	0	0	0	0
846	Kangai Mau	0	0	0	0
847	Head chef	0	0	0	0
